Gene,hvkp_present,ckp_present,Prevalence,OddsRatio,Pvalue,FDR
def_4;def_2;def_3;def_1,772,90,0.23944444444444443,95.80424691358024,0.0,0.0
iucB;iucB_1;iucB_2,782,103,0.24583333333333332,88.28177918265975,0.0,0.0
iucC_2;iucC_1;iucC_3;iucC,782,103,0.24583333333333332,88.28177918265975,0.0,0.0
pifC_2;pifC_3;pifC;pifC_1,738,102,0.23333333333333334,69.86668180785828,0.0,0.0
yceD_3;yceD_2,731,398,0.3136111111111111,15.225138852155514,8.387286693040083e-240,6.860800514906787e-238
terW,724,399,0.31194444444444447,14.649223792080935,5.410535378386795e-234,3.688181616266999e-232
hns_2;hns,475,112,0.16305555555555556,20.238522851669405,5.329516166663612e-197,3.1139601602363107e-195
hisI_2;hisI_4,472,150,0.17277777777777778,14.702425396825397,5.789016284200152e-173,2.9596345752973277e-171
merR1,376,107,0.13416666666666666,14.123978509187774,1.3151078544693533e-137,5.976434583088505e-136
dksA_1;dksA_3;dksA_2,508,313,0.22805555555555557,7.600567108985541,7.329091127428021e-126,2.9975982711180605e-124
ybcI,235,14,0.06916666666666667,57.03177727784027,1.5724945557142664e-120,5.846820666246681e-119
iucB,216,5,0.06138888888888889,143.70499359795136,3.446269481289961e-120,1.1746035148729949e-118
fecI,376,144,0.14444444444444443,10.33932724995527,6.374401968145525e-119,2.005484926901169e-117
iucA,215,6,0.06138888888888889,119.00149190110827,4.127737894474396e-118,1.2058891420285915e-116
mdaB;mdaB_1,234,16,0.06944444444444445,49.58699213630406,1.0114417416957242e-117,2.757864482357008e-116
mntB_9;mntB_11,213,7,0.06111111111111111,100.75583090379008,1.7581146420057998e-115,4.494180553627326e-114
;wzc_1;wzc,227,17,0.06777777777777778,44.84507257448434,2.1450617861740328e-112,5.160766297324585e-111
mntB_10,205,7,0.058888888888888886,95.9920634920635,1.5581631702671234e-110,3.540492981329186e-109
znuB_1;mntB_5;mntC,478,312,0.21944444444444444,6.762869917494195,1.7902384306940224e-110,3.8537237797571323e-109
hemB_1;hemB_2;hemB_3,477,310,0.21861111111111112,6.7851178660049625,1.9940218237523062e-110,4.077774629573466e-109
scaC;mntB_10;uup_7,477,312,0.21916666666666668,6.735743343195266,5.46903975043819e-110,1.0651605990139141e-108
ccmM;ccmM_2;ccmM_1,184,4,0.052222222222222225,147.0528905289053,7.402462610865803e-102,1.376185094474597e-100
eno_2,217,26,0.0675,27.57440828402367,5.086359806317076e-98,9.044874612102974e-97
gbpR,599,609,0.33555555555555555,4.927783416260283,2.4905570637101858e-93,4.2443243294061086e-92
glxR_2;glxR_1;glxR,236,62,0.08277777777777778,12.70984697554152,4.537115215914715e-84,7.422720493236474e-83
cybB,599,654,0.34805555555555556,4.485158975304658,7.914047498110854e-84,1.2449405487412843e-82
allE;allE_1;allE_2,236,63,0.08305555555555555,12.503180860605303,1.659383527458956e-83,2.513658750854493e-82
allA_1;allA_2;allA,236,65,0.08361111111111111,12.108925502880824,2.138452336355895e-82,2.915423351898537e-81
allH;allH_2;allH_1,236,65,0.08361111111111111,12.108925502880824,2.138452336355895e-82,2.915423351898537e-81
allK_1;allK_2;allK,236,65,0.08361111111111111,12.108925502880824,2.138452336355895e-82,2.915423351898537e-81
msrD_2;msrD_1;msrD;msr(E),318,163,0.13361111111111112,7.010670690387343,5.285270557048144e-81,6.97314728333126e-80
citD,211,1439,0.4583333333333333,0.21714613095395977,2.208494853113634e-79,2.822732484135864e-78
repB_1;repB_2;repB_3,345,208,0.15361111111111111,6.0927545422369045,1.7774750353443648e-78,2.202991786229834e-77
intQ;intQ_2;intQ_1,364,247,0.16972222222222222,5.484992101105846,3.7313549227390855e-75,4.4886004805890764e-74
mbeC,401,311,0.19777777777777777,4.958523058330996,4.1684347657708336e-74,4.8711137691436306e-73
uvrD_2;yjcD;rep_2,346,234,0.16111111111111112,5.380768574316962,5.437626271618003e-71,6.177747625254897e-70
trxC,374,1810,0.6066666666666667,0.26301357714853274,2.2930417604966174e-68,2.5347407568732877e-67
cysS_8;cysS_7;cysS_2;cysS_6;cysS_5;cysS_3;cysS_4;cysS_1,283,156,0.12194444444444444,6.217239459886518,6.773963663775683e-67,7.290924048642775e-66
nadX_2;nadX;nadX_1,246,1456,0.4727777777777778,0.2580460484921204,8.63293534445883e-66,9.053514245855542e-65
nagAb;andAb;ndoA,246,1455,0.4725,0.2584485291089544,1.5042408309965563e-65,1.5380862496939787e-64
gmm,248,116,0.10111111111111111,7.09884443625984,3.548416358841753e-65,3.539761684795798e-64
leuE_1;leuE_2,487,512,0.2775,3.8998046875,7.446861753175851e-65,7.251824897735532e-64
surE_1;surE_2,441,423,0.24,4.087708556559008,1.2869632043618985e-64,1.2241115129860848e-63
